structure_id,label_id,join_key,notes
ABAVIJ_clean,ABAVIJ:1,ABAVIJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ABAYIO_clean,ABAYIO:2,ABAYIO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ABESUX_clean,ABESUX:3,ABESUX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ABETAE_clean,ABETAE:4,ABETAE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ABEXEM_clean,ABEXEM:5,ABEXEM_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ABEXIQ_clean,ABEXIQ:6,ABEXIQ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ABEXOW_clean,ABEXOW:7,ABEXOW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ABEYAJ_clean,ABEYAJ:8,ABEYAJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ABEYEN_clean,ABEYEN:9,ABEYEN_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ACAJOF_clean,ACAJOF:10,ACAJOF_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ACODON_clean,ACODON:11,ACODON_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ADODII_clean,ADODII:12,ADODII_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ADODOO_clean,ADODOO:13,ADODOO_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ADODUU_clean,ADODUU:14,ADODUU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ADOGEH_clean,ADOGEH:15,ADOGEH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ADUWIH_clean,ADUWIH:16,ADUWIH_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AFENEE_clean,AFENEE:17,AFENEE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AFOYAW_clean,AFOYAW:18,AFOYAW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AFOYIE_clean,AFOYIE:19,AFOYIE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AGARUW_clean,AGARUW:20,AGARUW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AGUTUS_clean,AGUTUS:21,AGUTUS_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AHOBEG_clean,AHOBEG:22,AHOBEG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AHOKAJ_clean,AHOKAJ:23,AHOKAJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AHOKIR_clean,AHOKIR:24,AHOKIR_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AHOKOX_clean,AHOKOX:25,AHOKOX_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AJUNOK_clean,AJUNOK:26,AJUNOK_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AKEDIF_clean,AKEDIF:27,AKEDIF_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ALIXOJ_clean,ALIXOJ:28,ALIXOJ_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ALIXUP_clean,ALIXUP:29,ALIXUP_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AMILOY_clean,AMILOY:30,AMILOY_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AMILUE_clean,AMILUE:31,AMILUE_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AMIMEP_clean,AMIMEP:32,AMIMEP_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ANOMUM_clean,ANOMUM:33,ANOMUM_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ANONAT_manual,ANONAT:34,ANONAT_manual,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ANUGEW_clean,ANUGEW:35,ANUGEW_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
ANUGOG_clean,ANUGOG:36,ANUGOG_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
AQALOU_clean,AQALOU:37,AQALOU_clean,Direct join via CoRE_name from MOFSimplify full_SSD_data.csv
