label_id,structure_id,target_name,target_value,target_units,split,doi,ann_prediction_probability,ann_predicted_target_value,latent_space_entropy,source_note
ABAVIJ:1,ABAVIJ_clean,solvent_removal_stability_binary,1,binary,train,10.1039/b404485a,0.94328225,1,0.001704998,doi=10.1039/b404485a; partition=train; ann_probability=0.94328225
ABAYIO:2,ABAYIO_clean,solvent_removal_stability_binary,1,binary,train,10.1021/acs.cgd.6b00776,0.92023736,1,0.001713398,doi=10.1021/acs.cgd.6b00776; partition=train; ann_probability=0.92023736
ABESUX:3,ABESUX_clean,solvent_removal_stability_binary,1,binary,train,10.1021/ic200345j,0.9266927,1,0.001737361,doi=10.1021/ic200345j; partition=train; ann_probability=0.9266927
ABETAE:4,ABETAE_clean,solvent_removal_stability_binary,1,binary,train,10.1021/ic200345j,0.92664546,1,0.001737395,doi=10.1021/ic200345j; partition=train; ann_probability=0.92664546
ABEXEM:5,ABEXEM_clean,solvent_removal_stability_binary,0,binary,train,10.1021/ic201013v,0.08953139,0,0.00166723,doi=10.1021/ic201013v; partition=train; ann_probability=0.08953139
ABEXIQ:6,ABEXIQ_clean,solvent_removal_stability_binary,0,binary,train,10.1021/ic201013v,0.08464575,0,0.001669639,doi=10.1021/ic201013v; partition=train; ann_probability=0.08464575
ABEXOW:7,ABEXOW_clean,solvent_removal_stability_binary,0,binary,train,10.1021/ic201013v,0.09747484,0,0.001668844,doi=10.1021/ic201013v; partition=train; ann_probability=0.09747484
ABEYAJ:8,ABEYAJ_clean,solvent_removal_stability_binary,0,binary,train,10.1021/ic201013v,0.07517618,0,0.001664051,doi=10.1021/ic201013v; partition=train; ann_probability=0.07517618
ABEYEN:9,ABEYEN_clean,solvent_removal_stability_binary,0,binary,train,10.1021/ic201013v,0.07394311,0,0.001664123,doi=10.1021/ic201013v; partition=train; ann_probability=0.07394311
ACAJOF:10,ACAJOF_clean,solvent_removal_stability_binary,0,binary,train,10.1039/c2dt31427d,0.16672128,0,0.007889401,doi=10.1039/c2dt31427d; partition=train; ann_probability=0.16672128
ACODON:11,ACODON_clean,solvent_removal_stability_binary,0,binary,train,10.1039/c2cc35526d,0.10351175,0,0.001756533,doi=10.1039/c2cc35526d; partition=train; ann_probability=0.10351175
ADODII:12,ADODII_clean,solvent_removal_stability_binary,1,binary,train,10.1039/c2cc35432b,0.9421859,1,0.001713882,doi=10.1039/c2cc35432b; partition=train; ann_probability=0.9421859
ADODOO:13,ADODOO_clean,solvent_removal_stability_binary,1,binary,train,10.1039/c2cc35432b,0.93983334,1,0.001713647,doi=10.1039/c2cc35432b; partition=train; ann_probability=0.93983334
ADODUU:14,ADODUU_clean,solvent_removal_stability_binary,1,binary,train,10.1039/c2cc35432b,0.938709,1,0.001714168,doi=10.1039/c2cc35432b; partition=train; ann_probability=0.938709
ADOGEH:15,ADOGEH_clean,solvent_removal_stability_binary,0,binary,train,10.1039/c2cc36220a,0.13183305,0,0.00175048,doi=10.1039/c2cc36220a; partition=train; ann_probability=0.13183305
ADUWIH:16,ADUWIH_clean,solvent_removal_stability_binary,0,binary,train,10.1002/chem.201300144,0.10546768,0,0.00172552,doi=10.1002/chem.201300144; partition=train; ann_probability=0.10546768
AFENEE:17,AFENEE_clean,solvent_removal_stability_binary,1,binary,train,10.1039/b108616b,0.9124846,1,0.001729775,doi=10.1039/b108616b; partition=train; ann_probability=0.9124846
AFOYAW:18,AFOYAW_clean,solvent_removal_stability_binary,1,binary,train,10.1039/b806671j,0.93806285,1,0.001739786,doi=10.1039/b806671j; partition=train; ann_probability=0.93806285
AFOYIE:19,AFOYIE_clean,solvent_removal_stability_binary,1,binary,train,10.1039/b806671j,0.93877494,1,0.001734876,doi=10.1039/b806671j; partition=train; ann_probability=0.93877494
AGARUW:20,AGARUW_clean,solvent_removal_stability_binary,1,binary,train,10.1039/b806615a,0.9239224,1,0.00172267,doi=10.1039/b806615a; partition=train; ann_probability=0.9239224
