structure_id,core_mof_id,formula,source_note
ABAVIJ_clean,ABAVIJ,,doi=10.1039/b404485a; partition=train; ann_probability=0.94328225
ABAYIO_clean,ABAYIO,,doi=10.1021/acs.cgd.6b00776; partition=train; ann_probability=0.92023736
ABESUX_clean,ABESUX,,doi=10.1021/ic200345j; partition=train; ann_probability=0.9266927
ABETAE_clean,ABETAE,,doi=10.1021/ic200345j; partition=train; ann_probability=0.92664546
ABEXEM_clean,ABEXEM,,doi=10.1021/ic201013v; partition=train; ann_probability=0.08953139
ABEXIQ_clean,ABEXIQ,,doi=10.1021/ic201013v; partition=train; ann_probability=0.08464575
ABEXOW_clean,ABEXOW,,doi=10.1021/ic201013v; partition=train; ann_probability=0.09747484
ABEYAJ_clean,ABEYAJ,,doi=10.1021/ic201013v; partition=train; ann_probability=0.07517618
ABEYEN_clean,ABEYEN,,doi=10.1021/ic201013v; partition=train; ann_probability=0.07394311
ACAJOF_clean,ACAJOF,,doi=10.1039/c2dt31427d; partition=train; ann_probability=0.16672128
ACODON_clean,ACODON,,doi=10.1039/c2cc35526d; partition=train; ann_probability=0.10351175
ADODII_clean,ADODII,,doi=10.1039/c2cc35432b; partition=train; ann_probability=0.9421859
ADODOO_clean,ADODOO,,doi=10.1039/c2cc35432b; partition=train; ann_probability=0.93983334
ADODUU_clean,ADODUU,,doi=10.1039/c2cc35432b; partition=train; ann_probability=0.938709
ADOGEH_clean,ADOGEH,,doi=10.1039/c2cc36220a; partition=train; ann_probability=0.13183305
ADUWIH_clean,ADUWIH,,doi=10.1002/chem.201300144; partition=train; ann_probability=0.10546768
AFENEE_clean,AFENEE,,doi=10.1039/b108616b; partition=train; ann_probability=0.9124846
AFOYAW_clean,AFOYAW,,doi=10.1039/b806671j; partition=train; ann_probability=0.93806285
AFOYIE_clean,AFOYIE,,doi=10.1039/b806671j; partition=train; ann_probability=0.93877494
AGARUW_clean,AGARUW,,doi=10.1039/b806615a; partition=train; ann_probability=0.9239224
AGUTUS_clean,AGUTUS,,doi=10.1002/zaac.200900121; partition=train; ann_probability=0.10582647
AHOBEG_clean,AHOBEG,,doi=10.1039/C5DT02147B; partition=train; ann_probability=0.91495943
AHOKAJ_clean,AHOKAJ,,doi=10.1021/cm0112845; partition=train; ann_probability=0.10055718
AHOKIR_clean,AHOKIR,,doi=10.1021/cm010651+; partition=train; ann_probability=0.93908393
AHOKOX_clean,AHOKOX,,doi=10.1021/cm010651+; partition=train; ann_probability=0.93708503
AJUNOK_clean,AJUNOK,,doi=10.1021/acs.cgd.5b00681; partition=train; ann_probability=0.8954273
AKEDIF_clean,AKEDIF,,doi=10.1021/acs.cgd.6b00354; partition=train; ann_probability=0.14674845
ALIXOJ_clean,ALIXOJ,,doi=10.1039/c001655a; partition=train; ann_probability=0.9153931
