"Source" "year" "nr_NHST" "errors" "dec_errors" "perc_errors" "perc_dec_errors" "folder"
1 2008 1 0 0 0 0 "josh"
2 1987 1 1 0 100 0 "josh"
3 1991 2 0 0 0 0 "josh"
4 2000 5 0 0 0 0 "josh"
5 1993 4 0 0 0 0 "josh"
6 2004 11 0 0 0 0 "josh"
7 NA 1 0 0 0 0 "campbell"
8 NA 1 0 0 0 0 "campbell"
9 2009 2 0 0 0 0 "josh"
10 1988 3 0 0 0 0 "josh"
11 NA 8 0 0 0 0 "campbell"
12 2011 1 0 0 0 0 "josh"
13 1995 10 5 1 50 10 "josh"
14 1995 1 1 0 100 0 "josh"
15 NA 1 0 0 0 0 "campbell"
16 2007 2 2 0 100 0 "josh"
17 2010 2 0 0 0 0 "josh"
18 NA 4 0 0 0 0 "IQ"
19 NA 11 1 0 9.09 0 "IQ"
20 1991 3 0 0 0 0 "josh"
21 1986 9 2 0 22.22 0 "josh"
22 2000 1 0 0 0 0 "josh"
23 2000 1 0 0 0 0 "josh"
24 NA 1 0 0 0 0 "campbell"
25 NA 1 0 0 0 0 "campbell"
26 NA 1 0 0 0 0 "campbell"
27 NA 1 0 0 0 0 "campbell"
28 NA 5 0 0 0 0 "IQ"
29 1986 1 0 0 0 0 "josh"
30 1986 6 0 0 0 0 "josh"
31 NA 4 0 0 0 0 "IQ"
32 NA 13 1 0 7.69 0 "campbell"
33 1990 3 0 0 0 0 "josh"
34 1995 19 0 0 0 0 "josh"
35 NA 1 1 0 100 0 "IQ"
36 1996 3 0 0 0 0 "josh"
37 NA 12 2 0 16.67 0 "IQ"
38 1987 15 0 0 0 0 "josh"
39 NA 2 1 0 50 0 "IQ"
40 2009 1 0 0 0 0 "josh"
41 1996 4 0 0 0 0 "josh"
42 NA 1 1 1 100 100 "campbell"
43 1988 5 0 0 0 0 "josh"
44 1990 4 0 0 0 0 "josh"
45 NA 8 3 0 37.5 0 "IQ"
46 NA 6 0 0 0 0 "IQ"
47 NA 24 4 0 16.67 0 "campbell"
48 NA 13 5 0 38.46 0 "campbell"
49 NA 5 0 0 0 0 "IQ"
50 2010 21 5 1 23.81 4.76 "josh"
51 NA 4 2 1 50 25 "josh"
52 NA 4 0 0 0 0 "campbell"
53 NA 12 4 0 33.33 0 "campbell"
54 NA 6 1 0 16.67 0 "IQ"
55 1990 1 0 0 0 0 "josh"
56 NA 11 0 0 0 0 "campbell"
57 NA 3 0 0 0 0 "campbell"
58 2006 1 0 0 0 0 "josh"
59 NA 5 2 1 40 20 "IQ"
60 NA 4 0 0 0 0 "campbell"
61 NA 10 0 0 0 0 "IQ"
62 NA 16 1 0 6.25 0 "campbell"
63 NA 1 0 0 0 0 "campbell"
64 NA 13 6 0 46.15 0 "campbell"
65 1998 38 3 2 7.89 5.26 "josh"
66 1995 11 2 0 18.18 0 "josh"
67 NA 7 3 0 42.86 0 "IQ"
68 NA 3 0 0 0 0 "campbell"
69 NA 7 3 0 42.86 0 "campbell"
70 1998 13 1 0 7.69 0 "josh"
71 1988 12 4 0 33.33 0 "josh"
72 NA 12 1 0 8.33 0 "IQ"
73 NA 7 4 0 57.14 0 "IQ"
74 NA 1 0 0 0 0 "IQ"
75 1989 3 0 0 0 0 "josh"
76 1998 6 0 0 0 0 "josh"
77 2006 5 0 0 0 0 "josh"
78 NA 4 1 0 25 0 "IQ"
79 NA 7 1 1 14.29 14.29 "campbell"
80 NA 1 0 0 0 0 "IQ"
81 NA 3 1 0 33.33 0 "campbell"
82 1996 8 0 0 0 0 "josh"
83 NA 2 0 0 0 0 "IQ"
84 NA 1 0 0 0 0 "IQ"
85 1987 1 0 0 0 0 "josh"
86 1998 24 2 0 8.33 0 "josh"
87 NA 4 1 0 25 0 "IQ"
