"Source" "Statistic" "df1" "df2" "Test.Comparison" "Value" "Reported.Comparison" "Reported.P.Value" "Computed" "Raw" "Error" "DecisionError" "OneTail" "OneTailedInTxt" "APAfactor" "folder"
"Barlow2012" "F" 2 91 "=" 0.01 "=" 0.99 0.990050921557233 "F(2,91) = 0.010, P=.990" FALSE FALSE FALSE FALSE 0.03 "campbell"
"Bennett2008" "Z" NA NA "=" 7.25 "<" 1e-04 4.16771631734414e-13 "Z= 7.25, p<.0001" FALSE FALSE FALSE FALSE 0.03 "campbell"
"Bowers2011" "Z" NA NA "=" -4.1 "<" 0.01 4.13150138250935e-05 "Z= -4.10, p<.01" FALSE FALSE FALSE TRUE 0.06 "campbell"
"Bowers2011" "Z" NA NA "=" -2.13 "<" 0.05 0.03317161336721 "Z= -2.13, p<.05" FALSE FALSE FALSE TRUE 0.06 "campbell"
"Bowers2011" "Z" NA NA "=" -3.69 "<" 0.01 0.000224254051964494 "Z= -3.69, p<.01" FALSE FALSE FALSE TRUE 0.06 "campbell"
"Bowers2011" "Z" NA NA "=" -2.6 "<" 0.01 0.0093223760474375 "Z= -2.60, p<.01" FALSE FALSE FALSE TRUE 0.06 "campbell"
"Bowers2011" "Z" NA NA "=" -1.48 "=" 0.139 0.138873246666663 "Z= -1.48, p= .139" FALSE FALSE FALSE TRUE 0.06 "campbell"
"Bowers2011" "Z" NA NA "=" -1.75 "=" 0.081 0.0801183137276342 "Z= -1.75, p= 0.081" FALSE FALSE FALSE TRUE 0.06 "campbell"
"Bowers2011" "t" NA 22 "=" 6.91 "<" 0.001 6.13586979589712e-07 "t(22)= 6.91, p<.001" FALSE FALSE FALSE TRUE 0.06 "campbell"
"Bowers2011" "t" NA 22 "=" 1.55 "=" 0.135 0.135408507489375 "t(22)= 1.55, p= 0.135" FALSE FALSE FALSE TRUE 0.06 "campbell"
"Coren2010" "t" NA 7 "=" 8.86 "<" 0.001 4.72309807216164e-05 "t(7) = 8.86, P < .001" FALSE FALSE FALSE FALSE 0.33 "campbell"
"Feder2008" "Z" NA NA "=" 2.23 "=" 0.03 0.025747442877204 "Z = 2.23, p = .03" FALSE FALSE FALSE FALSE 1 "campbell"
"Filges2015" "F" 4 55 "=" 1.09 "<" 0.37 0.37057952768311 "F(4,55) = 1.09, p< 0.37" FALSE FALSE FALSE TRUE 0.12 "campbell"
"Filges2015_5" "F" 4 55 "=" 1.09 "<" 0.37 0.37057952768311 "F(4,55) = 1.09, p< 0.37" FALSE FALSE FALSE TRUE 0.04 "campbell"
"Fong2015" "Q" NA 10 "=" 15.89 "=" 0.1 0.102824871391971 "Q(10) = 15.89, P = 0.10" FALSE FALSE FALSE FALSE 0.07 "campbell"
"Garrido2007" "Q" NA 4 "=" 4.598 "=" 0.331 0.331084844799073 "Q(4) = 4.598, p = .331" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "r" NA 1 "=" 1.831 "=" 0.176 NA "R(1) = 1.831, p = .176" NA NA NA FALSE 0.62 "campbell"
"Garrido2007" "t" NA 28 "=" -0.792 "=" 0.435 0.435019584345792 "T(28) = -.792, p = .435" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Q" NA 14 "=" 10.585 "=" 0.718 0.718285675123931 "Q(14) = 10.585, p = .718" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "t" NA 13 "=" 1.104 "=" 0.29 0.289609339967971 "T(13) = 1.104, p = .290" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Q" NA 29 "=" 44.009 "=" 0.037 0.0366294710529914 "Q(29) = 44.009, p = .037" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Q" NA 29 "=" 71.845 "<" 0.001 1.68856362792386e-05 "Q(29) = 71.845, p < .001" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Qb" NA 1 "=" 0.734 "=" 0.391 0.391589697490221 "QB(1) = .734, p = .391" TRUE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Qb" NA 4 "=" 4.598 "=" 0.331 0.331084844799073 "QB(4) = 4.598, p = .331" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Qb" NA 3 "=" 11.272 "=" 0.01 0.0103424246714462 "QB(3) = 11.272, p = .010" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Qb" NA 2 "=" 4.216 "=" 0.121 0.121480685003913 "QB(2) = 4.216, p = .121" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Qb" NA 1 "=" 1.361 "=" 0.243 0.243364248045855 "QB(1) = 1.361, p = .243" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Garrido2007" "Qb" NA 1 "=" 0.316 "=" 0.574 0.574021473113388 "QB(1) = 0.316, p = .574" FALSE FALSE FALSE FALSE 0.62 "campbell"
"Kristjansson2006" "Z" NA NA "=" 69.7 "=" 0.404 0 "Z = 69.7, P = 0.404" TRUE TRUE FALSE FALSE 0.01 "campbell"
"Macdonald2008" "F" 7 245 "=" 2.53 "<" 0.01 0.0157233417924665 "F(7, 245)=2.53, P<.01" TRUE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 7 245 "=" 2.9 "<" 0.001 0.00625587127972863 "F(7, 245)=2.90, P<.001" TRUE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 7 245 "=" 1.84 "<" 0.08 0.0802994147669996 "F(7,245)=1.84, P<.08" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 124 "=" 5.41 "<" 0.05 0.0216452890878065 "F(1, 124)=5.41, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 124 "=" 5.41 "<" 0.05 0.0216452890878065 "F(1, 124)=5.41, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 27 "=" 4.68 "<" 0.05 0.0395331920360487 "F(1,27)=4.68, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "t" NA 15 "=" 1.97 "<" 0.07 0.0675884770308142 "t(15)= 1.97, p<.07" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 6 57 "=" 8.98 "<" 0.001 6.62897780630155e-07 "F(6, 57)=8.98, p<.001" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 6 60 "=" 5.54 "<" 0.001 0.000127778509867473 "F(6,60)=5.54, p<.001" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 65 "=" 4.04 "<" 0.05 0.048587746539582 "F(1,65)=4.04, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 6 390 "=" 5.49 "<" 0.001 1.79539345004486e-05 "F(6,390)=5.49, p<.001" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 130 "=" 7.59 "<" 0.01 0.00671183314987632 "F(1,130)=7.59, p<.01" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 7 245 "=" 2.53 "<" 0.01 0.0157233417924665 "F(7, 245)=2.53, P<.01" TRUE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 7 245 "=" 2.9 "<" 0.001 0.00625587127972863 "F(7, 245)=2.90, P<.001" TRUE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 27 "=" 4.68 "<" 0.05 0.0395331920360487 "F(1,27)=4.68, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 124 "=" 5.41 "<" 0.05 0.0216452890878065 "F (1,124)=5.41, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 124 "=" 5.41 "<" 0.05 0.0216452890878065 "F (1,124)=5.41, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 130 "=" 7.59 "<" 0.01 0.00671183314987632 "F(1,130)=7.59, p<.01" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 65 "=" 4.04 "<" 0.05 0.048587746539582 "F(1,65)=4.04, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 6 57 "=" 8.98 "<" 0.001 6.62897780630155e-07 "F(6, 57)=8.98, p<.001" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 6 60 "=" 5.54 "<" 0.001 0.000127778509867473 "F(6,60)=5.54, p<.001" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 65 "=" 4.04 "<" 0.05 0.048587746539582 "F(1,65)=4.04, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 6 390 "=" 5.49 "<" 0.001 1.79539345004486e-05 "F(6,390)=5.49, p<.001" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Macdonald2008" "F" 1 65 "=" 4.04 "<" 0.05 0.048587746539582 "F(1,65)=4.04, p<.05" FALSE FALSE FALSE FALSE 0.8 "campbell"
"Manning2017" "t" NA 56 "=" 0.468 "=" 0.641 0.641600958197146 "t (56) = 0.468, p = 0.641" FALSE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "t" NA 86 "=" 0.658 "=" 0.513 0.512295663912715 "t(86) = 0.658, p = .513" FALSE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "t" NA 32 "=" 0.334 "=" 0.74 0.740558610063271 "t(32) = .334, p = .74" FALSE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 57 "=" 143.85 "<" 0.001 1.87314116226843e-09 "Q (57) = 143.85, p < .001" FALSE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 13 "=" 122.662 "=" 0 5.98926200333816e-20 "Q (13) = 122.662, p = .000" TRUE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 13 "=" 18.317 "=" 0.146 0.145849839956168 "Q (13) = 18.317, p = .146" FALSE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 13 "=" 19.796 "=" 0.1 0.100414995244333 "Q (13) = 19.796, p = .100" FALSE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 13 "=" 26.049 "=" 0.017 0.0167451315843043 "Q (13) = 26.049, p = .017" FALSE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 7 "=" 21.219 "=" 0.003 0.00345918642817052 "Q (7) = 21.219, p = .003" FALSE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 11 "=" 69.022 "=" 0 1.87359487444837e-10 "Q (11) = 69.022, p = .000" TRUE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 11 "=" 141.493 "=" 0 8.09303804218366e-25 "Q (11) = 141.493, p = .000" TRUE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 16 "=" 583.703 "=" 0 6.52699390503938e-114 "Q (16) = 583.703, p = .000" TRUE FALSE FALSE FALSE 0.68 "campbell"
"Manning2017" "Q" NA 16 "=" 515.764 "=" 0 1.55844223684113e-99 "Q (16) = 515.764, p = .000" TRUE FALSE FALSE FALSE 0.68 "campbell"
"Maynard2012" "t" NA 9 "=" 1.59 ">" 0.05 0.146298066968742 "t(9)= 1.59, p > .05" FALSE FALSE FALSE FALSE 0.12 "campbell"
"Maynard2012" "t" NA 11 "=" -0.26 ">" 0.05 0.799666062513134 "t(11)= -.26, p > .05" FALSE FALSE FALSE FALSE 0.12 "campbell"
"Maynard2012" "t" NA 8 "=" -0.73 ">" 0.05 0.486213696662893 "t (8)= -.73, p > .05" FALSE FALSE FALSE FALSE 0.12 "campbell"
"Maynard2012" "t" NA 11 "=" -0.47 ">" 0.05 0.647535252484841 "t (11)= -.47, p > .05" FALSE FALSE FALSE FALSE 0.12 "campbell"
"Mazerolle2013" "t" NA 57 "=" 0.87 "=" 0.386 0.387949498211116 "t(57) = .87, p = .386" FALSE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "t" NA 24 "=" 4.1 "<" 0.001 0.000409128572322541 "t(24) = 4.10, p <0.001" FALSE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 6 "=" 86.73 "<" 0.001 1.44574387805687e-16 "Q(6) = 86.73, p < .001" FALSE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 1 "=" 0.85 "=" 0.356 0.35655233776726 "Q(1) = 0.85, p = 0.356" TRUE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 1 "=" 0.95 "=" 0.332 0.329719297312679 "Q(1) = 0.95, p = 0.332" TRUE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 13 "=" 45.37 "<" 0.001 1.8152184059764e-05 "Q(13) = 45.37, p < .001" FALSE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 1 "=" 0.5 "=" 0.481 0.479500122186953 "Q(1) = 0.50, p = 0.481" TRUE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 7 "=" 22.05 "=" 0.002 0.00249047757967737 "Q(7) = 22.05, p = .002" FALSE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 28 "=" 66.68 "<" 0.001 5.34252489667381e-05 "Q(28) = 66.68, p < .001" FALSE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 1 "=" 3.22 "=" 0.073 0.0727436300094797 "Q(1) = 3.22, p = 0.073" FALSE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 25 "=" 36.3 "=" 0.067 0.0671695452246401 "Q(25) = 36.30, p = .067" FALSE FALSE FALSE FALSE 0.6 "campbell"
"Mazerolle2013" "Q" NA 1 "=" 0.68 "=" 0.411 0.409586724120726 "Q(1) = 0.68, p = 0.411" TRUE FALSE FALSE FALSE 0.6 "campbell"
"Meissner2012" "Z" NA NA "=" 3.43 "<" 0.001 0.000603581249217274 "Z = 3.43, p < .001" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 2.04 "<" 0.05 0.0413503257321401 "Z = 2.04, p < .05" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 0.41 "ns" NA 0.681805947544645 "Z = 0.41, ns" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 2.24 "<" 0.05 0.0250909228718931 "Z = 2.24, p < .05" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 3.75 "<" 0.001 0.000176834570401608 "Z = 3.75, p < .001" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 2.14 "<" 0.05 0.0323547667443322 "Z = 2.14, p < .05" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 4 "<" 0.001 6.33424836662398e-05 "Z = 4.00, p < .001" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 2.02 "<" 0.05 0.0433833875352936 "Z = 2.02, p < .05" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 0.6 "ns" NA 0.548506235500147 "Z = 0.60, ns" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 1.97 "<" 0.05 0.0488383705604451 "Z = 1.97, p < .05" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Meissner2012" "Z" NA NA "=" 2.19 "<" 0.05 0.0285242368213378 "Z = 2.19, p < .05" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Mitchell2012_2" "Z" NA NA "=" 5.18 "<" 0.01 2.21885900252693e-07 "Z = 5.18, p < 0.01" FALSE FALSE FALSE FALSE 0.03 "campbell"
"Mitchell2012_2" "Z" NA NA "=" 3.57 "<" 0.01 0.000356981227809695 "Z = 3.57, p < 0.01" FALSE FALSE FALSE FALSE 0.03 "campbell"
"Mitchell2012_2" "Z" NA NA "=" 4.59 "<" 0.01 4.43246009623508e-06 "Z = 4.59, p < 0.01" FALSE FALSE FALSE FALSE 0.03 "campbell"
"Oliver2011" "Z" NA NA "=" 5.44 "<" 0.05 5.32805712199343e-08 "Z = 5.44, p<.05" FALSE FALSE FALSE FALSE 0.18 "campbell"
"Oliver2011" "Z" NA NA "=" 5.54 "<" 0.05 3.02471646715219e-08 "Z = 5.54, p<.05" FALSE FALSE FALSE FALSE 0.18 "campbell"
"Oliver2011" "Z" NA NA "=" 5.53 "<" 0.05 3.20230787761818e-08 "Z = 5.53, p<.05" FALSE FALSE FALSE FALSE 0.18 "campbell"
"Oliver2011" "Z" NA NA "=" 5.6 "<" 0.05 2.14351805166219e-08 "Z = 5.60, p<.05" FALSE FALSE FALSE FALSE 0.18 "campbell"
"Oya2017" "Z" NA NA "=" 1.01 "=" 0.312 0.312495290042509 "Z= 1.01, p = 0.312" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 2.83 "=" 0.005 0.00465480041346311 "Z= 2.83, p = 0.005" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 2.31 "=" 0.021 0.0208881541239022 "Z= 2.31, p = 0.021" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 2.51 "=" 0.012 0.0120731161608253 "Z= 2.51, p = 0.012" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 1.37 "=" 0.17 0.170686901643934 "Z= 1.37, p = 0.170" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 0.53 "=" 0.598 0.596111930789753 "Z= 0.53, p = 0.598" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 1.61 "=" 0.106 0.107397856296239 "Z= 1.61, p = 0.106" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 2.04 "=" 0.041 0.0413503257321401 "Z= 2.04, p = 0.041" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 0.98 "=" 0.326 0.327086118655385 "Z= 0.98, p = 0.326" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 3.64 "=" 0 0.000272638040891604 "Z= 3.64, p = 0.000" TRUE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 2.87 "=" 0.004 0.00410471798987951 "Z= 2.87, p = 0.004" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 2.31 "=" 0.021 0.0208881541239022 "Z= 2.31, p = 0.021" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 1.49 "=" 0.136 0.136224235933451 "Z= 1.49, p = 0.136" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 0.16 "=" 0.876 0.872881074217134 "Z= 0.16, p = 0.876" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 1.16 "=" 0.248 0.246048806102687 "Z= 1.16, p = 0.248" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Oya2017" "Z" NA NA "=" 1.42 "=" 0.156 0.155607681053093 "Z= 1.42, p = 0.156" FALSE FALSE FALSE FALSE 0.27 "campbell"
"Piquero2010" "Z" NA NA "=" 1.96 "=" 0.05 0.0499957902964409 "Z= 1.96, p= 0.05" FALSE FALSE FALSE FALSE 0.01 "campbell"
"Piza2016" "Z" NA NA "=" 4.18 "=" 0 2.91509095817341e-05 "Z = 4.18, p= 0.000" TRUE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 1.46 "=" 0.14 0.144290073931788 "Z = 1.46, p= 0.14" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 0.09 "=" 0.93 0.928287214829656 "Z = 0.09, p= 0.93" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 1.91 "=" 0.057 0.056133213319545 "Z = 1.91, p= 0.057" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 0.97 "=" 0.33 0.332046492127059 "Z = 0.97, p= 0.33" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 0.92 "=" 0.36 0.357572759228743 "Z = 0.92, p= 0.36" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 0.39 "=" 0.67 0.696536546928035 "Z = 0.39, p= 0.67" TRUE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 3.7 "=" 0 0.000215599466954777 "Z = 3.70, p= 0.000" TRUE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 4.07 "=" 0 4.70131377371911e-05 "Z = 4.07, p= 0.000" TRUE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 6.59 "=" 0 4.3982657609285e-11 "Z = 6.59, p= 0.000" TRUE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 4.15 "=" 0 3.32475274593044e-05 "Z = 4.15, p= 0.000" TRUE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 2.53 "=" 0.01 0.0114062526659014 "Z = 2.53, p= 0.01" FALSE FALSE FALSE FALSE 0.48 "campbell"
"Piza2016" "Z" NA NA "=" 1.01 "=" 0.31 0.312495290042509 "Z = 1.01, p= 0.31" FALSE FALSE FALSE FALSE 0.48 "campbell"
